date,weekdate,LGE_RU,LGE_U,LGE_UC,LGE_D,LGE_RD,LGE_end,LGE_start,LGE_high,LGE_low,LGE_abount
18/04/19,3,106000,0,1,0,0,0,105000,107000,104500,726517
18/04/20,4,109000,0,1,0,0,0,105500,111000,105500,1238083
18/04/23,0,104500,0,0,0,1,0,110500,111000,103500,1135766
18/04/24,1,102000,0,0,0,1,0,105000,105500,101000,868864
18/04/25,2,100000,0,0,0,1,0,101500,101500,99100,932572
18/04/26,3,101000,0,0,1,0,0,101000,103500,99900,835327
18/04/27,4,101500,0,0,1,0,0,103500,104500,101000,721921
18/04/30,0,102000,0,0,1,0,0,102500,103500,102000,575630
18/05/02,2,101500,0,0,1,0,0,102500,103000,100000,767053
18/05/03,3,103000,0,1,0,0,0,102000,103000,101000,625844
18/05/04,4,99000,0,0,0,1,0,103000,103000,98700,972728
18/05/08,1,94900,0,0,0,1,0,100000,101000,94700,1398768
18/05/09,2,95300,0,0,1,0,0,95100,95800,93500,863912
18/05/10,3,95200,0,0,1,0,0,95000,97500,94700,751327
18/05/11,4,97700,0,1,0,0,0,95600,98600,95600,758454
18/05/14,0,97500,0,0,1,0,0,99500,100500,97200,829383
18/05/15,1,96600,0,0,1,0,0,97100,97500,95200,814411
18/05/16,2,96900,0,0,1,0,0,96300,97500,96100,430070
18/05/17,3,98000,0,1,0,0,0,97200,98900,97000,602962
18/05/18,4,98000,0,0,1,0,0,98100,98700,97000,473681
18/05/21,0,98700,0,0,1,0,0,98000,98800,96900,556964
18/05/23,2,98700,0,0,1,0,0,98200,99300,98100,615723
18/05/24,3,98000,0,0,1,0,0,98800,100500,97300,652598
18/05/25,4,96700,0,0,0,1,0,97900,98700,96600,523804
18/05/28,0,95500,0,0,0,1,0,96500,97600,95300,519213
18/05/29,1,96100,0,0,1,0,0,96200,96700,95500,403665
18/05/30,2,96100,0,0,1,0,0,96200,98300,95800,733711
18/05/31,3,92600,0,0,0,1,0,97600,97600,92000,1461934
18/06/01,4,88200,0,0,0,1,0,92500,92500,87800,2401034
18/06/04,0,89000,0,0,1,0,0,88600,89700,88300,795419
18/06/05,1,90400,0,1,0,0,0,89400,90800,89200,736301
18/06/07,3,90600,0,0,1,0,0,91000,91800,89600,706966
18/06/08,4,89900,0,0,1,0,0,90300,91300,89700,488599
18/06/11,0,89000,0,0,0,1,0,90100,90300,88600,705279
18/06/12,1,90000,0,1,0,0,0,89200,91400,89200,602030
18/06/14,3,93600,0,1,0,0,0,91400,94100,91000,1444370
18/06/15,4,90900,0,0,0,1,0,94500,94500,90800,990542
18/06/18,0,89200,0,0,0,1,0,91000,92400,88500,767776
18/06/19,1,85200,0,0,0,1,0,88200,89900,85100,1012856
18/06/20,2,86200,0,1,0,0,0,85100,87400,85000,645081
18/06/21,3,82000,0,0,0,1,0,86300,87200,82000,1395643
18/06/22,4,82300,0,0,1,0,0,81300,83100,81100,751430
18/06/25,0,85000,0,1,0,0,0,82300,85000,81800,636705
18/06/26,1,83900,0,0,0,1,0,84300,84700,82500,537279
18/06/27,2,83700,0,0,1,0,0,84000,85300,83300,507804
18/06/28,3,80900,0,0,0,1,0,82900,83300,80800,715235
18/06/29,4,83000,0,1,0,0,0,81200,83100,80800,621098
18/07/02,0,79700,0,0,0,1,0,83100,83100,79500,682443
18/07/03,1,79900,0,0,1,0,0,80200,80900,79100,530738
18/07/04,2,77700,0,0,0,1,0,79500,80300,77400,587475
18/07/05,3,77800,0,0,1,0,0,77000,78800,76000,706939
18/07/06,4,75700,0,0,0,1,0,77100,78300,73500,1722781
18/07/09,0,77700,0,1,0,0,0,75100,78100,75100,799335
18/07/10,1,78200,0,0,1,0,0,77700,79300,77400,712585
18/07/11,2,76600,0,0,0,1,0,78400,78400,75800,759985
18/07/12,3,75200,0,0,0,1,0,76400,76400,75100,946355
18/07/13,4,77600,0,1,0,0,0,75900,77800,75900,935008
18/07/16,0,76400,0,0,0,1,0,77600,78200,76400,553500
18/07/17,1,78800,0,1,0,0,0,76100,79700,75200,1323914
18/07/18,2,80700,0,1,0,0,0,78600,82200,78600,1191864
18/07/19,3,82300,0,1,0,0,0,81000,83100,80000,1164716
18/07/20,4,81000,0,0,0,1,0,82100,83100,81000,829497
18/07/23,0,78400,0,0,0,1,0,80900,81200,78100,739344
18/07/24,1,81000,0,1,0,0,0,78200,81700,76800,991504
18/07/25,2,80800,0,0,1,0,0,80500,82400,79800,772980
18/07/26,3,81800,0,1,0,0,0,81400,82200,80300,725896
18/07/27,4,76000,0,0,0,0,1,80300,80400,75800,2544391
18/07/30,0,75200,0,0,0,1,0,76300,76400,74800,997710
18/07/31,1,74800,0,0,1,0,0,75400,75600,74800,725430
18/08/01,2,75300,0,0,1,0,0,75500,76200,75000,761449
18/08/02,3,75100,0,0,1,0,0,75100,76100,74800,616998
18/08/03,4,75200,0,0,1,0,0,75400,75700,74400,582491
18/08/06,0,74400,0,0,0,1,0,75400,75900,74200,685629
18/08/07,1,75100,0,0,1,0,0,75000,75500,74100,723231
18/08/08,2,75900,0,1,0,0,0,75400,77300,75400,1286104
18/08/09,3,80400,1,0,0,0,0,76400,80500,76000,2132947
18/08/10,4,79000,0,0,0,1,0,80000,80700,78700,961866
18/08/13,0,76300,0,0,0,1,0,78200,78400,75800,840750
18/08/14,1,73600,0,0,0,1,0,76100,76200,70900,2397515
18/08/16,3,73300,0,0,1,0,0,72500,73900,71300,920959
18/08/17,4,72400,0,0,0,1,0,74100,74100,72400,849229
18/08/20,0,72200,0,0,1,0,0,72800,73500,71900,670001
18/08/21,1,73400,0,1,0,0,0,72300,73500,70800,1404794
18/08/22,2,73200,0,0,1,0,0,73800,75600,73200,1110406
18/08/23,3,74600,0,1,0,0,0,73600,74600,72700,879090
18/08/24,4,74700,0,0,1,0,0,74100,75200,73400,815946
18/08/27,0,74300,0,0,1,0,0,74400,75200,73700,863531
18/08/28,1,73700,0,0,1,0,0,75100,75800,73600,903687
18/08/29,2,77200,0,1,0,0,0,74200,77500,73600,1417794
18/08/30,3,76400,0,0,0,1,0,77300,77400,75800,1006172
18/08/31,4,76800,0,0,1,0,0,75800,77100,75300,762868
